english,spanish,gender
time,el tiempo,
year,el año,
thing,la cosa,
way,el camino,
day,el día,
man,el hombre,
state,el estado,
lot,el lote,
woman,la mujer,
country,el país,
life,la vida,
question,la cuestión,
president,el presidente,
child,el niño,
week,la semana,
world,el mundo,
kind,el tipo,
case,el caso,
problem,el problema,
fact,el hecho,
family,la familia,
story,la historia,
point,el punto,
government,el gobierno,
money,el dinero,
issue,la cuestión,
part,la parte,
morning,la mañana,
guy,el chico,
number,el número,
job,el trabajo,
night,la noche,
right,el derecho,
school,la escuela,
place,el lugar,
war,la guerra,
kid,el niño,
month,el mes,
book,el libro,
hour,la hora,
show,el show,
police,la policía,
program,el programa,
party,el partido,
law,la ley,
word,la palabra,
person,la persona,
home,el hogar,
business,el negocio,
friend,el amigo,
company,la empresa,
side,el lado,
tax,el impuesto,
democrat,el demócrata,
group,el grupo,
moment,el momento,
break,la ruptura,
idea,la idea,
member,el miembro,
system,el sistema de,
minute,el minuto,
reason,la razón,
campaign,la campaña,
work,la obra,
nation,la nación,
congress,el congreso,
mother,la madre,
force,la fuerza,
health,la salud,
back,la parte de atrás,
area,la zona,
name,el nombre,
report,el informe,
hand,la mano,
line,la línea,
end,el fin,
court,la corte,
care,el cuidado,
couple,la pareja,
house,la casa,
american,la americana,
father,el padre,
situation,la situación,
car,el coche,
parent,el padre,
administration,la administración,
drug,la droga,
city,la ciudad,
sense,el sentido,
policy,la política,
office,la oficina,
decision,la decisión,
power,el poder,
plan,el plan,
leader,el líder,
information,la información,
election,la elección,
movie,la película,
death,la muerte,
air,el aire,
call,la llamada,
community,la comunidad,
look,la mirada,
evidence,la evidencia,
girl,la chica,
doctor,el médico,
vote,el voto,
video,el video,
picture,la imagen,
room,la habitación,
economy,la economía,
phone,el teléfono,
history,la historia,
sort,el tipo,
boy,el niño,
crime,el crimen,
process,el proceso de,
wife,la esposa,
music,la música,
water,el agua,
service,el servicio,
record,el registro,
security,la seguridad,
talk,la charla,
mind,la mente,
head,la cabeza,
candidate,el candidato,
official,el funcionario,
camera,la cámara,
student,el estudiante,
attack,el ataque,
chance,la oportunidad,
game,el juego,
baby,el bebé,
south,el sur,
change,cambio,
trial,el juicio,
body,el cuerpo,
market,el mercado,
stuff,las cosas,
interest,el interés,
weapon,el arma,
heart,el corazón,
son,el hijo,
team,el equipo,
town,la ciudad,
television,la televisión,
will,la voluntad,
troop,la tropa,
judge,el juez,
action,la acción,
answer,la respuesta,
position,la posición,
view,la vista,
difference,la diferencia,
food,la comida,
daughter,la hija,
race,la carrera,
deal,el acuerdo,
street,la calle,
price,el precio,
message,el mensaje,
control,el control,
debate,el debate,
officer,el oficial,
film,la película,
level,el nivel,
effort,el esfuerzo,
relationship,la relación,
correspondent,el corresponsal,
ground,el terreno,
piece,la pieza,
husband,el marido,
budget,el presupuesto,
jury,el jurado,
reporter,el reportero,
weekend,el fin de semana,
matter,la materia,
age,la edad,
gun,la pistola,
peace,la paz,
murder,el asesinato,
role,el papel,
investigation,la investigación,
experience,la experiencia,
hospital,el hospital,
eye,el ojo,
director,el director,
future,el futuro,
face,la cara,
oil,el aceite,
result,el resultado,
public,el público,
lawyer,el abogado,
poll,la encuesta,
second,la segunda,
opportunity,la oportunidad,
industry,la industria,
brother,el hermano,
statement,la declaración,
fire,el fuego,
love,el amor,
rate,la tasa,
effect,el efecto,
song,la canción,
event,el evento,
charge,la carga,
support,el apoyo,
radio,la radio,
building,el edificio,
bank,el banco,
victim,la víctima,
door,la puerta,
interview,la entrevista,
scene,la escena,
rest,el resto,
press,la prensa,
attention,la atención,
choice,la elección,
speech,el discurso,
patient,el paciente,
truth,la verdad,
road,la carretera,
term,el término,
site,el sitio,
worker,el trabajador,
professor,el profesor,
letter,la letra,
reform,la reforma,
concern,la preocupación,
folk,la gente,
sex,el sexo,
study,el estudio,
college,la universidad,
voter,el votante,
wall,la pared,
evening,la noche,
meeting,la reunión,
voice,la voz,
audience,la audiencia,
violence,la violencia,
rule,la regla,
star,la estrella,
test,la prueba,
education,la educación,
trouble,el problema,
risk,el riesgo,
prison,la prisión,
guest,el invitado,
class,la clase,
society,la sociedad,
soldier,el soldado,
plane,el plano,
amount,la cantidad,
help,la ayuda,
cost,el costo,
authority,la autoridad,
foot,el pie,
period,el período,
feeling,la sensación,
step,la etapa de,
cause,causa,
tape,la cinta,
threat,la amenaza,
opinion,la opinión,
organization,la organización,
type,el tipo de,
conversation,la conversación,
disease,la enfermedad,
operation,la operación,
cancer,el cáncer,
magazine,la revista,
governor,el gobernador,
pressure,la presión,
majority,la mayoría,
